Legacy Asset Type,Taxonomy Category,Target DataHub Entity,Proposed Naming Convention,Description / Notes,,,,,,,,,,
Organization,People & Org,CorpGroup,urn:li:corpGroup:{org_name},High-level business units or departments.,,,,,,,,,,
Group,People & Org,CorpGroup,urn:li:corpGroup:{group_name},"AD groups, team names, or data stewardship groups.",,,,,,,,,,
Manager / Employee,People & Org,CorpUser,urn:li:corpuser:{ldap_id},Individual human users. Both map to standard users; use title fields for hierarchy.,,,,,,,,,,
Account,People & Org,CorpUser,urn:li:corpuser:{service_acct},System or service accounts used for batch/ETL processing.,,,,,,,,,,
Location / Country / City / Timezone,Geography,GlossaryNode or Tag,urn:li:tag:Location_{City},Best handled as tags applied to datasets to indicate data residency or sovereignty.,,,,,,,,,,
Business_Capability / Function / Process,Business Arch,GlossaryTerm,urn:li:glossaryTerm:{ProcessName},Map these to the Business Glossary to group datasets by the business processes they support.,,,,,,,,,,
Business_Logic,Business Arch,GlossaryTerm or Custom Property,urn:li:glossaryTerm:{RuleName},Documented business rules or logic applied to data.,,,,,,,,,,
Dataset,Data Asset,Dataset,"urn:li:dataset:(urn:li:dataPlatform:{platform},{name},{env})","The core entity. Tables, views, topics, or files.",,,,,,,,,,
Source of Record,Data Asset,Tag,urn:li:tag:SourceOfRecord,A tag applied to specific Datasets to flag them as the golden source.,,,,,,,,,,
Metadata,Data Asset,N/A (Implicit),N/A,"This is the data about the data (schema, descriptions), inherently captured in the tool.",,,,,,,,,,
Dataflow / Batch ETL,Pipelines,DataFlow & DataJob,"urn:li:dataFlow:({orchestrator},{flow_id},{env})","Represents Airflow DAGs, Informatica workflows, or custom batch scripts.",,,,,,,,,,
Application / Software / Business_Application,Software / Apps,DataPlatform or Custom Entity,urn:li:dataPlatform:{appName},The system generating or consuming the data. Can also map as a Container in DataHub.,,,,,,,,,,
Conceptual / Logical / Physical View,Architecture,Custom Properties / Links,N/A,"DataHub natively extracts the Physical View. Conceptual/Logical views should be linked via URLs to your modeling tool (e.g., Erwin) within the Dataset's properties.",,,,,,,,,,
Component / Deployment View,Architecture,Custom Properties,N/A,Metadata attached to DataFlows or DataPlatforms indicating where they run.,,,,,,,,,,
Incident / Change Request,ITSM / Gov,Tag or Institutional Link,urn:li:tag:HasActiveIncident,"DataHub is not a ticketing system. Map these as URL links (e.g., to Jira/ServiceNow) on the specific Dataset or Dataflow.",,,,,,,,,,
Servers / AIX Server / Alteon / A10 Load Balancer,Infrastructure,Custom Entity or Exclude,urn:li:server:{hostname},Warning: Pure data catalogs usually do not track bare-metal or load balancers. Consider keeping these in your CMDB (ServiceNow) and linking the Application to the CMDB ID.,,,,,,,,,,
IT_Service / IT_Technology,Infrastructure,Domain or GlossaryTerm,urn:li:domain:{IT_ServiceName},High-level IT groupings for technical ownership.,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Standardized URNs (Uniform Resource Names): DataHub relies heavily on URNs as unique identifiers. Always use lowercase for platform names and environments to avoid duplicates (e.g., PROD vs prod).",,,,,,,,,,,,,,
"Format: urn:li:dataset:(urn:li:dataPlatform:snowflake,retail.sales.transactions,prod)",,,,,,,,,,,,,,
Glossary Taxonomy (GlossaryNode and GlossaryTerm): Create a hierarchical structure for your business architecture.,,,,,,,,,,,,,,
Example: Node: Finance -> Node: Accounts_Payable -> Term: Invoice_Processing_(Business_Process).,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tags vs. Glossary Terms:,,,,,,,,,,,,,,
"Use Tags for quick, informal, or operational state flagging (e.g., Deprecated, PII, SourceOfRecord, Batch_ETL).",,,,,,,,,,,,,,
"Use Glossary Terms for strictly defined, governed business concepts (e.g., Customer_Churn_Rate, Business_Capability).",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
How these new columns map into DataHub:,,,,,,,,,,,,,,
"Source System (SOR): This maps directly to DataHub's DataPlatform entity (e.g., Oracle, Hive, Kafka, Tableau). It tells the catalog where the data lives.",,,,,,,,,,,,,,
"Source URL: DataHub has a feature called Institutional Memory (or external links). You can attach these URLs directly to the Dataset or Dataflow entity so users can click out to the original git repository, Control-M console, or reporting dashboard.",,,,,,,,,,,,,,
Query / Report Source:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"If it's a Query (like SQL or Cypher), this is typically ingested into the ViewProperties or stored as a DataJob showing exactly how a dataset was transformed.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"If it's a Report, DataHub treats it as a Chart or Dashboard entity that sits downstream from your datasets, establishing a clear lineage map from the database table all the way to the final visualizati",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Legacy Asset Name,Legacy Asset Type,Target DataHub Entity,Source System (SOR),Source URL,Query / Report Source,Proposed DataHub URN,,,,,,,,
Financial_Master_Tx,Dataset,Dataset,Oracle Database,[https://git.internal/oracle/fin_master.sql](https://git.internal/oracle/fin_master.sql),Oracle SQL recursive view: VW_FIN_MASTER,"urn:li:dataset:(urn:li:dataPlatform:oracle,fin_master,prod)",,,,,,,,
Nightly_Load_Job,Batch ETL,DataJob,BMC Control-M,[https://controlm.internal/jobs/job_8891](https://controlm.internal/jobs/job_8891),Control-M Job ID: 8891 executing script load.sh,"urn:li:dataJob:(urn:li:dataFlow:(controlm,nightly_batch,prod),job_8891)",,,,,,,,
Customer_Transform,Dataflow,DataFlow,Ab Initio,[https://git.internal/abinitio/graphs/cust.mp](https://git.internal/abinitio/graphs/cust.mp),Ab Initio Graph: cust_transform.mp,"urn:li:dataFlow:(abinitio,cust_transform,prod)",,,,,,,,
Entity_Relationships,Conceptual_View,Dataset,Neo4j,[https://neo4j.internal/browser](https://neo4j.internal/browser),"Cypher query: MATCH (n:Person)-[r:ACTED_IN]->(m:Movie) RETURN n,r,m","urn:li:dataset:(urn:li:dataPlatform:neo4j,entity_rels,prod)",,,,,,,,
Q3_Sales_Dashboard,Business_Logic / Application,Chart / Dashboard,Tableau / Looker,[https://tableau.internal/views/Q3_Sales](https://tableau.internal/views/Q3_Sales),Report Name: Q3 Sales Executive Summary,"urn:li:dashboard:(urn:li:dataPlatform:tableau,q3_sales)",,,,,,,,
Claim_Adjudication,Business_Process,GlossaryTerm,Enterprise Arch Docs,[https://confluence.internal/arch/claims](https://confluence.internal/arch/claims),N/A (Business rule documentation),urn:li:glossaryTerm:Claim_Adjudication,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
