Business Application is software used by business users to perform a business function,,,,,,,,
,,,,,,,,
Catalog,Base class,Description,Relationship,Dependent class,Child,Parent,CMDB rel type,Display name
Company,Company,,,,,,Parent::Child_of,
Company,Location,,,,,,,
Company,Country,,,,,,,
Company,Timezone,,,,,,,
Company,City,,,,,,,
Company,Organization,,,,,,Parent::Child_of,
Company,Manager,,,,,,Manages::Managed_By,
Company,Employee,,,,,,Works_For::Employed_By,
Company,Group,,,,,,Belongs_To::Member_Of,
Company,Account,,,,,,Has_Account,
,,,,,,,,
Business,Business_Capibility,,,,,,Maps_to::Mapped_by,
Business,Business_Service,,,,FALSE,TRUE,,
Business,Business_Function,,,,TRUE,FALSE,Maps_to::Mapped_by,
Business,Business_Process,,,,TRUE,FALSE,Maps_to::Mapped_by,
Business,Dataset,,,,,,Process::Uses_DataSet,
Business,Business_Logic,,,,,,,
,,,,,,,,
Data,,,Aplication:Creates-Maintains?,,,,,
Data,Source of Record,,,,,,,
Data,Dataset,,Data Record,,,,,
Data,Metadata,,Metadata,,,,,
Data,Dataflow,ETL Terms,,,,,,
View,Conceptual_View, high-level data requirements,,,,,,
View,Logical_View,The Class Model and Domain Model View,,,,,,
View,Physical_View,physical model takes into consideration DBMS capabilities and data modeling concepts,,,,,,
View,Component View,The high level view of what software is to be built,,,,,,
View,Deployment View,The physical model; what hardware is to be deployed and what software is to run on it,,,,,Requesting::Requested by,
DevOps,Change Request,,,,,,Contains::Task of,
DevOps,Change Request,,,,,,Related to::Related to,
DevOps,Change Request,,,,,,Solved by::Solves,
DevOps,Incident,,,,,,Investigated by::Investigates,
DevOps,Incident,,,,,,Solution is documented in::Documenting solution for,
IT,IT_Service,,,,FALSE,TRUE,,
IT,IT_Technology,,,,,,,
Business_Service,Application,,Sends data to (child),Service,TRUE,FALSE,Receives data from::Sends data to,cmdb_ci_appl
Business_Service,Application,,Used by (child),Service,TRUE,FALSE,Depends on::Used by,cmdb_ci_appl
Business_Service,Business_Application,Software used by business users to perform a business function,Consumes (parent),Service,FALSE,TRUE,Consumes::Consumed by,cmdb_ci_business_app
Business_Service,Service,,Used by (child),Service,TRUE,FALSE,Depends on::Used by,cmdb_ci_service
Business_Service,Business_Service,,Depends on (parent),Service,FALSE,TRUE,Depends on::Used by,cmdb_ci_service
IT_Service,A10 Load Balancer,,IP Connection (parent),IP Switch,FALSE,TRUE,IP Connection::IP Connection,cmdb_ci_lb_a10
IT_Service,AIX Server,,IP Connection (parent),IP Switch,FALSE,TRUE,IP Connection::IP Connection,cmdb_ci_aix_server
IT_Service,Alteon,,IP Connection (parent),IP Switch,FALSE,TRUE,IP Connection::IP Connection,cmdb_ci_lb_alteon
IT_Service,Apache Web Server,,Depends on (parent),Tomcat,FALSE,TRUE,Depends on::Used by,cmdb_ci_apache_web_server
IT_Service,Application,,Runs on (parent),Windows Server,FALSE,TRUE,Runs on::Runs,cmdb_ci_appl
IT_Service,Application,,Depends on (parent),Database,FALSE,TRUE,Depends on::Used by,cmdb_ci_appl
IT_Service,Application,,Runs on (parent),UNIX Server,FALSE,TRUE,Runs on::Runs,cmdb_ci_appl
IT_Service,Application,,Depends on (parent),Storage Server,FALSE,TRUE,Depends on::Used by,cmdb_ci_appl
IT_Service,Application,,Runs on (parent),Server,FALSE,TRUE,Runs on::Runs,cmdb_ci_appl
IT_Service,Application Cluster,,Cluster (child),Endpoint,TRUE,FALSE,Cluster of::Cluster,cmdb_ci_application_cluster
IT_Service,Availability Zone,,Contains (parent),Cloud Network,FALSE,TRUE,Contains::Contained by,cmdb_ci_availability_zone
IT_Service,Availability Zone,,Contains (parent),Cloud Subnet,FALSE,TRUE,Contains::Contained by,cmdb_ci_availability_zone
IT_Service,Business Application,,Uses (parent),Information Object,FALSE,TRUE,Uses::Used by,cmdb_ci_business_app
IT_Service,Circuit,,Powers (parent),Server,FALSE,TRUE,Powers::Powered by,cmdb_ci_circuit
IT_Service,Circuit,,Powers (parent),Rack,FALSE,TRUE,Powers::Powered by,cmdb_ci_circuit
IT_Service,Circuit,,Fed By (child),UPS,TRUE,FALSE,Feeds::Fed By,cmdb_ci_circuit
IT_Service,Cisco UCS Blade,,Contained by (child),Cisco UCS Chassis,TRUE,FALSE,Contains::Contained by,cmdb_ci_ucs_blade
IT_Service,Cisco UCS Chassis,,Contained by (child),Cisco UCS Equipment,TRUE,FALSE,Contains::Contained by,cmdb_ci_ucs_chassis
IT_Service,Cisco UCS Chassis,,Contains (parent),Cisco UCS Blade,FALSE,TRUE,Contains::Contained by,cmdb_ci_ucs_chassis
IT_Service,Cisco UCS Equipment,,Contains (parent),Cisco UCS Rack Mount Unit,FALSE,TRUE,Contains::Contained by,cmdb_ci_ucs_equipment
IT_Service,Cisco UCS Equipment,,Contains (parent),Cisco UCS Chassis,FALSE,TRUE,Contains::Contained by,cmdb_ci_ucs_equipment
IT_Service,Cisco UCS Rack Mount Unit,,Contained by (child),Cisco UCS Equipment,TRUE,FALSE,Contains::Contained by,cmdb_ci_ucs_rack_unit
IT_Service,Citrix Netscaler,,IP Connection (parent),IP Switch,FALSE,TRUE,IP Connection::IP Connection,cmdb_ci_lb_netscaler
IT_Service,Cloud Mgmt Network Interface,,Contained by (child),Resource Group,TRUE,FALSE,Contains::Contained by,cmdb_ci_nic
IT_Service,Cloud Mgmt Network Interface,,Contained by (child),Cloud Subnet,TRUE,FALSE,Contains::Contained by,cmdb_ci_nic
IT_Service,Cloud Network,,Contains (parent),Compute Security Group,FALSE,TRUE,Contains::Contained by,cmdb_ci_network
IT_Service,Cloud Network,,Contained by (child),Resource Group,TRUE,FALSE,Contains::Contained by,cmdb_ci_network
IT_Service,Cloud Network,,Contained by (child),Availability Zone,TRUE,FALSE,Contains::Contained by,cmdb_ci_network
IT_Service,Cloud Public IP Address,,Contained by (child),Resource Group,TRUE,FALSE,Contains::Contained by,cmdb_ci_cloud_public_ipaddress
IT_Service,Cloud Storage Account,,Contained by (child),Resource Group,TRUE,FALSE,Contains::Contained by,cmdb_ci_cloud_storage_account
IT_Service,Cloud Subnet,,Contained by (child),Resource Group,TRUE,FALSE,Contains::Contained by,cmdb_ci_cloud_subnet
IT_Service,Cloud Subnet,,Contains (parent),Cloud Mgmt Network Interface,FALSE,TRUE,Contains::Contained by,cmdb_ci_cloud_subnet
IT_Service,Cloud Subnet,,Contained by (child),Availability Zone,TRUE,FALSE,Contains::Contained by,cmdb_ci_cloud_subnet
IT_Service,Cluster,,Members (parent),Computer,FALSE,TRUE,Members::Member of,cmdb_ci_cluster
IT_Service,Cluster,,Used by (child),Database,TRUE,FALSE,Depends on::Used by,cmdb_ci_cluster
IT_Service,Cluster,,Members (parent),UNIX Server,FALSE,TRUE,Members::Member of,cmdb_ci_cluster
IT_Service,Cluster,,Cluster (child),Cluster Node,TRUE,FALSE,Cluster of::Cluster,cmdb_ci_cluster
IT_Service,Cluster,,Members (parent),Database,FALSE,TRUE,Members::Member of,cmdb_ci_cluster
IT_Service,Cluster Node,,Cluster of (parent),Cluster,FALSE,TRUE,Cluster of::Cluster,cmdb_ci_cluster_node
IT_Service,Cluster Node,,Hosted on (parent),Server,FALSE,TRUE,Hosted on::Hosts,cmdb_ci_cluster_node
IT_Service,Cluster Virtual IP,,Applicative Flow To (parent),Windows Cluster Node,FALSE,TRUE,Applicative Flow To::Applicative Flow From,cmdb_ci_cluster_vip
IT_Service,Compute Security Group,,Contained by (child),Cloud Network,TRUE,FALSE,Contains::Contained by,cmdb_ci_compute_security_group
IT_Service,Compute Security Group,,Contained by (child),Resource Group,TRUE,FALSE,Contains::Contained by,cmdb_ci_compute_security_group
IT_Service,Computer,,Used by (child),Computer,TRUE,FALSE,Depends on::Used by,cmdb_ci_computer
IT_Service,Computer,,Depends on (parent),Computer Peripheral,FALSE,TRUE,Depends on::Used by,cmdb_ci_computer
IT_Service,Computer,,Used by (child),Service,TRUE,FALSE,Depends on::Used by,cmdb_ci_computer
